unique_id,Unnamed: 0,AutoARIMA,AutoTheta,AutoETS,CES,MSTL,SeasonalNaive,WindowAverage,SeasWA,Naive,prophet,best_model
263_CPU,24422121676.920773,23876937392.463783,2773964348.5161443,2524504639.1990585,17238413526.337135,2772126675.6259255,2812204204.3452516,2577932708.3440385,2812204204.3452516,2897624042.7977057,2744203624.1595135,AutoETS
264_CPU,87571071324.99324,51865271966.395004,33428083443.291428,33426179994.996372,85258818197.07617,33292868640.99403,32982841888.472015,32999157972.23919,32982841888.472015,33425773154.38476,35521541925.75155,SeasonalNaive
265_CPU,10921793633.09811,6738021340.413395,7404653360.292321,6738021340.413395,9509763127.967852,6751789793.982718,6738021340.413395,6738021340.413395,6738021340.413395,6738021340.413395,14874208524.246834,AutoARIMA
266_CPU,873557065794.8077,830910382209.8654,12642131239168.598,14017269732194.477,426807474610.96045,11363898975199.54,2450475943736.845,777208279628.5175,2450475943736.845,14366347158122.627,693664953588.2368,CES
267_CPU,592094852766.1785,15032798021554.967,11006498576334.264,10824820015447.096,763876752557.0884,11981973218037.818,2730199535605.595,457856963573.8033,2730199535605.595,20193486738582.93,2591328177524.3677,WindowAverage
268_CPU,657840095512.3145,480036145033.3582,362627514838.0936,533371474997.15796,546008422312.5583,384678085763.78656,676580273208.977,566267501232.7161,676580273208.977,367778391414.1551,644699843900.1929,AutoTheta
269_CPU,585256878056.043,546395443057.7509,41741662315.56215,34664654640.44582,43816074845.229485,38422235597.447815,40312318407.344376,36777355116.14914,40312318407.344376,35146264204.200966,29868435194.313744,prophet
26_CPU,3121433727506.155,1390277605198.994,1463253470779.7664,1396664817889.5374,2974915226142.902,1511284643907.1865,1443020256764.6548,1344184733976.7417,1443020256764.6548,1349672974734.6782,912546792334.3342,prophet
270_CPU,1756829358928.3196,371863966329.82043,302934688053.68585,371840058380.805,1651233997730.0967,490818705712.44434,444763886318.2285,501723997929.5485,444763886318.2285,444171822671.38983,574796010373.856,AutoTheta
271_CPU,69477663974.19948,173892980524.99167,162369622735.2123,164875358036.29434,25725993690.299294,162703801911.09576,176577572074.26544,172602354742.66858,176577572074.26544,152389674652.96964,208279380740.57236,CES
272_CPU,39482844924.96349,36489262544.74356,51780763664.704315,51385979009.69427,73592933304.18768,52152025541.656204,58970531734.189445,57157794196.94906,58970531734.189445,44121294719.205376,59685960797.12187,AutoARIMA
273_CPU,5034784360.296065,308317458.45299375,274450043.9100639,280699326.56455624,1211084581.6072361,290994514.14052707,630381815.0269408,307379901.704996,630381815.0269408,324460429.6167267,371405493.81120104,AutoTheta
274_CPU,177268.5,0.0,6.2324961787456e-05,126.30550059918399,1305.5186872627744,11295.308024797743,0.0,0.0,0.0,0.0,875.5583573443525,AutoARIMA
275_CPU,82145215582.17139,9698625538.047468,8361732892.791917,8662721181.841522,44831444985.717545,8825809597.29972,9572872904.504395,18275062778.127655,9572872904.504395,17686944842.035614,16742617923.932194,AutoTheta
276_CPU,139322607326.47864,264067875384.09015,207187585432.06918,265644508474.91867,52344185127.278984,248313197243.44608,262774241658.68646,261646187979.07043,262774241658.68646,265588647376.37332,37912731205.14615,prophet
277_CPU,27396418573.09558,26429509390.841522,1221653179.8860664,1227548917.4363127,7747682075.030868,1279396287.161582,1494254183.367388,1229201309.639312,1494254183.367388,1223051113.9245872,1495293065.3896103,AutoTheta
278_CPU,4263009541.8407454,1057624052.9453295,200145253.15669882,203354396.34878272,1020589559.2404333,195427150.60707188,200707373.59053415,193153888.38945797,200707373.59053415,207120906.63118663,234634013.85409424,WindowAverage
279_CPU,4318185365.972039,220437877.33388984,204975041.786657,220691822.9838038,1844486542.6378665,231178411.67314887,231585728.36844128,220186458.85946584,231585728.36844128,220630535.51695448,1252711796.9167747,AutoTheta
27_CPU,269829635321.20825,270022565002.49332,252952172712.07028,389374662809.9439,411291091753.2196,353548424360.8182,329492823170.5468,234384714104.14252,329492823170.5468,270040976375.96005,398061994485.58264,WindowAverage
280_CPU,4372043925191.776,222269765496.9443,231974777505.15384,231973385447.33948,336576452365.74725,195252627846.80865,182763885122.26447,203834411003.40378,182763885122.26447,256915455380.04007,238325491280.45294,SeasonalNaive
281_CPU,38968206228.29997,10254545557.613962,1652644905.5208025,1649304111.6603541,4018176668.8401256,1664131419.3245451,1756098662.7858448,1696304964.8686392,1756098662.7858448,1644467589.0714667,3053983984.5525637,Naive
282_CPU,1002163463.2669035,64756574.00081112,159080895.2442273,66591703.66476261,378050910.8294377,67780623.60379247,73499384.1951025,97990752.6937205,73499384.1951025,98121817.09640333,110466351.71904701,AutoARIMA
283_CPU,1808800636.9181578,812081299.7374254,267207069.58487675,267209104.41388714,267837579.1176354,268388406.3439571,297340876.21293557,264671704.69737694,297340876.21293557,264838115.10238585,293051119.0412868,WindowAverage
284_CPU,1159129059.3185084,1159911469.54394,111331512.95230241,113251858.92774619,425673039.59797364,119429809.15288997,190398002.81966758,154272218.98479578,190398002.81966758,154110067.18073478,158183826.0483445,AutoTheta
285_CPU,66563033446.75938,25805746270.424213,56462490479.74221,174256352603.54547,54144801854.08051,44746145476.787346,36302894256.701324,29093832279.52406,36302894256.701324,174283222406.40402,13774802054.479261,prophet
286_CPU,109538279592.29364,98026253795.86166,4574716860.152032,4177539204.1558433,107218018186.71446,4126011239.7251353,4614679658.921946,4181217711.4390745,4614679658.921946,4177639812.7800074,7242661139.015785,MSTL
287_CPU,1008862846035.3768,54982089198.89541,52159002048.03853,60841954100.943794,623032080169.8851,67777839243.68025,51813399377.97265,45659784666.00302,51813399377.97265,93784488226.39388,49197483505.53201,WindowAverage
288_CPU,903527921862.6055,236904984856.2093,370575550086.43854,1317630402709.1287,637040646369.8131,308018879743.8992,318954349310.3268,443502113007.5867,318954349310.3268,1317673647178.3713,157175173555.61707,prophet
289_CPU,3556339324.4852347,201755164.89162296,196874228.30590883,199217000.208177,1064950436.3751698,198675003.10206875,210956097.7837032,256790068.49481744,210956097.7837032,254876091.92517263,282626310.1973379,AutoTheta
28_CPU,1358188956431.0073,1286584196875.2568,176201964974.66443,176978292738.58682,618940003722.5815,186739190716.4639,209596755512.8321,169408848363.89438,209596755512.8321,164858793431.765,178098977390.27542,Naive
290_CPU,4417340257.75156,1097973088.6032686,179661749.938949,177252192.44023356,2133495324.9209569,175084749.07162598,188368019.4683082,171690035.68907124,188368019.4683082,173865524.7219305,247827227.68517232,WindowAverage
291_CPU,4729061001.530122,369245305.94418424,309221756.903234,322632461.20306486,1789103807.392681,326654898.19661146,411622745.77096534,603979589.8595729,411622745.77096534,681396825.3567854,526070988.2556114,AutoTheta
292_CPU,263286376236.649,253927998699.32068,68603219925.72802,141463924755.6176,237333725546.87396,79904683150.26038,169721262695.59787,76323769954.14563,169721262695.59787,140462061860.6846,50920363264.59494,prophet
293_CPU,54509567675.27755,17659768386.355366,16365025671.864887,24137292976.15714,17701425438.74025,21946365066.72847,20124987492.268764,16810357692.769331,20124987492.268764,17312888632.05844,21141615365.13952,AutoTheta
294_CPU,4301657355.271493,252654843.4488553,227314464.98301822,236345125.19711605,768404477.308309,249533444.79174417,243883700.95428964,385779892.0949064,243883700.95428964,483102243.34605956,336281379.3100603,AutoTheta
295_CPU,19395515955.581123,3535931372.0156465,4412355292.85474,3528643269.7894616,10778439343.861685,3956600959.2542834,4449031119.055037,4173042400.590119,4449031119.055037,3514954643.976094,3610540511.6969714,Naive
296_CPU,42047047813.484505,24172164535.451042,26353523586.304596,23963803640.76432,33747287331.919827,24611230919.84657,24375412276.229713,24277990472.705162,24375412276.229713,33215415205.10555,22688108221.932777,prophet
297_CPU,2520787154664.5073,1967940324887.977,2018940770612.0144,2050911126418.2058,2543214709993.7534,2002485061501.1904,1939208734355.596,1934712191713.499,1939208734355.596,2050924353523.8342,1996506290849.9558,WindowAverage
298_CPU,3708180888.818665,155175770.27395752,149083684.98381683,145353843.13499877,595129316.4789777,150639255.42055517,156973260.88772464,151809572.4929212,156973260.88772464,181673060.41020495,200203945.40904334,AutoETS
299_CPU,615589881.247889,43071972.95058189,42223995.05728246,42405642.61669967,179692525.98861915,41955697.58170522,56356474.25529569,42537301.28515969,56356474.25529569,57194237.40468726,57438727.79893702,MSTL
29_CPU,8236448734.657442,2621537395.4826994,2615265331.509914,2624582489.628627,4202335205.569545,2913262637.1540484,3769474144.7153287,2670252361.322096,3769474144.7153287,4484422274.263327,2819764724.359523,AutoTheta
2_CPU,29817434.216784652,20788871.71698112,44628014.391928285,44884452.5588077,18417504.090683978,48803311.91658734,62743852.17026956,45366513.7528834,62743852.17026956,135262361.6068192,52768785.26317508,CES
300_CPU,3004780098.956333,283765937.3407304,254266278.44780034,249618223.0594586,710654223.2534878,288072180.7158551,419814137.93606406,284448191.65007305,419814137.93606406,952429282.3512789,321669718.08837897,AutoETS
301_CPU,7916092869.420541,400480382.2253234,298217203.4433068,312836818.33733374,1446980500.0193896,303918610.3532027,317362087.763683,349806375.1607356,317362087.763683,361231930.7582492,513844524.66589653,AutoTheta
302_CPU,1486792526.0145326,1494681554.5706565,61186879.873312786,63490070.529594906,343638600.02711993,61134892.1636871,74326183.11374833,79250086.12491128,74326183.11374833,106415931.47905767,83475828.60153787,MSTL
303_CPU,2165177650103.2927,98080597689.83588,131869074158.89902,119468133633.55249,886782863153.5837,123640186520.91167,112342388857.68474,222790129764.83237,112342388857.68474,295672111104.76154,185088202410.09402,AutoARIMA
304_CPU,1639798951113.8884,64814832801.94558,62843216908.20688,65973481969.70866,364234115921.5561,64027383329.98544,65870640418.794876,97523156635.52507,65870640418.794876,96073694227.98547,101952314682.7368,AutoTheta
305_CPU,225525934624.58472,8974196642.303774,8740984725.851358,8840375748.67098,163572698652.30566,8901882106.573803,9709434610.027542,9470210275.075787,9709434610.027542,8872025331.443998,12589772970.648758,AutoTheta
306_CPU,124676424434.4296,5581923338.339408,5084873222.144205,5225997424.683249,52872935255.792435,5099031240.602463,5890816768.519696,5506090156.792504,5890816768.519696,5325403267.206939,9229295477.161858,AutoTheta
307_CPU,28564998183.908012,26682187724.93806,3439939340.306613,3390703769.0674405,6526502913.136987,3626129565.953493,4213383732.9631248,3195308126.905443,4213383732.9631248,3150071871.7006817,3569451365.101041,Naive
308_CPU,112894065492.886,17374457853.8451,4217027928.8897295,4241464833.3971252,31520313668.755856,4315232867.140357,5536117542.901438,5276712516.482224,5536117542.901438,4271593985.5041404,5308061526.009154,AutoTheta
309_CPU,14174396041.93786,2529257623.7504306,851774849.5994228,851837778.1403103,4188923013.5214133,906494243.5578467,1128696714.1501987,852684374.6864152,1128696714.1501987,934850073.2256896,1032266989.8946714,AutoTheta
30_CPU,374911252129.0415,23665948219.5362,22783712234.303165,23555494080.817116,218659791471.36414,23641296126.649273,26494810605.58719,24888200037.371357,26494810605.58719,23781675866.135853,53988573222.616806,AutoTheta
310_CPU,1273994626135.5461,407689451161.8599,318418862278.0501,339920838311.09924,262777176307.64786,316553708297.68396,456937539445.9131,268918885685.36362,456937539445.9131,323610136453.8628,1004987396391.3762,CES
311_CPU,1446822884835.826,107885930769.05414,86151096713.08205,112437177853.40318,893859496619.9672,89195886095.90977,95532963751.22697,104183760564.81271,95532963751.22697,106283695579.26743,73657294341.60048,prophet
312_CPU,1953890454.863968,1941596853.5508986,768285315.7152323,698767838.5972991,754154805.2958531,707996086.7246267,736880178.8916763,760358825.4648327,736880178.8916763,761119794.4004675,779942708.0717881,AutoETS
313_CPU,1693042550.2702157,316748000.108463,1787778835.67846,1787622519.9702322,1533903608.9190507,1751561604.1830587,735453145.8663875,421304144.33493596,735453145.8663875,1743378632.8818285,436299713.9893831,AutoARIMA
